label,zmin,zmax,z_span,z_span_um,radius_nm,radius_um,radius_source,length_um,angle_deg,xy_diagonal
32,0,116,116,122.496,22473.38835155927,22.473388351559272,bbox_approx,122.496,20.149321542724238,175.5733464965568
52,0,112,112,118.272,2631.53,2.63153,EDT,118.272,34.427237359035075,316.6607016982057
60,0,112,112,118.272,4630.14,4.63014,EDT,118.272,34.003985688894105,311.66969695496545
78,0,164,164,173.184,38754.417761075965,38.75441776107596,bbox_approx,173.184,24.110995369968183,302.768888758406
90,0,164,164,173.184,16175.675565490303,16.1756755654903,bbox_approx,173.184,10.581090842984624,126.37246535539299
95,0,164,164,173.184,33144.33888313357,33.14433888313357,bbox_approx,173.184,20.945069153903997,258.940147524481
107,0,164,164,173.184,25395.019354196207,25.395019354196208,bbox_approx,173.184,16.344942062672246,198.39858870465787
113,0,164,164,173.184,10890.43,10.89043,EDT,173.184,26.65493814115539,339.5776788895289
123,0,164,164,173.184,11981.511090008638,11.981511090008638,bbox_approx,173.184,7.877847745980955,93.60555539069249
127,0,164,164,173.184,18857.315185359766,18.857315185359766,bbox_approx,173.184,12.285601393188152,147.32277488562318
138,1,76,75,79.2,26573.79882515859,26.573798825158587,bbox_approx,79.2,33.863804910769574,207.60780332155147
157,3,72,69,72.864,25221.19743390468,25.221197433904678,bbox_approx,72.864,34.694136728324,197.0406049523803
182,3,132,129,136.224,35988.037123466456,35.988037123466455,bbox_approx,136.224,27.850431726243322,281.1565400270817
184,3,72,69,72.864,13938.488870749225,13.938488870749225,bbox_approx,72.864,20.936309703404525,108.89444430272832
217,3,72,69,72.864,1711.04,1.71104,EDT,72.864,26.852295940014407,144.10065926289164
262,3,72,69,72.864,20560.242800122764,20.560242800122765,bbox_approx,72.864,29.438023458956568,160.6268968759591
326,3,164,161,170.016,52549.41750390769,52.54941750390769,bbox_approx,170.016,31.723123841190105,410.5423242492788
348,3,164,161,170.016,19326.304561400248,19.32630456140025,bbox_approx,170.016,12.808306595238365,150.98675438593943
352,3,164,161,170.016,11417.140797940612,11.417140797940613,bbox_approx,170.016,7.649429933163569,89.19641248391103
364,3,164,161,170.016,13312.6153703921,13.3126153703921,bbox_approx,170.016,8.900472232094089,104.00480758118829
368,3,164,161,170.016,33926.03719858835,33.92603719858835,bbox_approx,170.016,21.75656090607432,265.04716561397146
369,3,164,161,170.016,34682.331640188204,34.6823316401882,bbox_approx,170.016,22.19492079180054,270.95571593897034
370,3,164,161,170.016,42536.46266440123,42.536462664401235,bbox_approx,170.016,26.582552490219957,332.3161145656346
